name,brand,os,cpu_brand,cpu_name,cpu_type,cpu_cores,cpu_threads,gpu_brand,gpu_name,gpu_vram,ram_capacity,ram_ddr_type,hdd,ssd,screen_size,aspect_ratio_category,screen_res,ppi,touchscreen,spec_score,user_rating,price
dell g15-5530 2023 gaming laptop (13th gen core i7/ 16gb/ 512gb ssd/ win11/ rtx 4050 6gb graph),dell,windows,intel,core i7 13650hx,hx,14,NULL,nvidia,geforce rtx 4050,6,16,ddr5,0,512,15.6,Widescreen (16:10),HD+,141.21,0,70,4.65,124199
dell inspiron 5520 gaming laptop (12th gen core i5/ 8gb/ 512gb ssd/ win11/ 4gb graph),dell,windows,intel,core i5 12500h,h,12,16,nvidia,geforce rtx 3050,4,8,ddr5,0,512,15.6,Widescreen (16:10),HD+,141.21,0,66,4.55,67999
dell xps 15 9510 laptop (11th gen core i7/ 16gb/ 512gb ssd/ win10/ 4gb graph),dell,windows,intel,core i7 11800h,h,8,16,nvidia,rtx 3050 ti,4,16,ddr4,0,512,15.6,Widescreen (16:10),3K+,290.28,0,70,4.4,129990
dell g15-5525 d560896win9s gaming laptop (ryzen 9 6900hx/ 16gb/ 1tb ssd/ win11 home/ 6gb graph),dell,windows,amd,ryzen 9 6900hx,hx,8,16,nvidia,geforce rtx 3060,6,16,ddr5,0,1024,15.6,Widescreen (16:10),HD+,141.21,0,71,4.65,105299
dell vostro 3425 laptop (amd ryzen 5-5500u/ 8gb/ 512gb ssd/ win11 home),dell,windows,amd,ryzen 5 5500u,u,6,12,amd,integrated,0,8,ddr4,0,512,14,Widescreen (16:10),HD+,157.35,0,55,4.75,36990
dell vostro 3420 laptop (11th gen core i5/ 16gb/ 512gb ssd/ win11),dell,windows,intel,core i5 1135g7,NULL,4,8,intel,integrated,0,16,ddr4,0,512,14,Widescreen (16:10),HD+,157.35,0,57,4.5,51259
dell inspiron 3525 d560771win9s laptop (amd ryzen 5 5625u/ 8gb/ 512gb ssd/ win11),dell,windows,amd,ryzen 5 5625u,u,6,12,amd,integrated,0,8,ddr4,0,512,15.6,Widescreen (16:10),HD+,141.21,0,59,4.5,40490
dell xps 9315 d560076win9s laptop (12th gen core i5 / 16gb/ 512gb ssd/ win11),dell,windows,intel,core i5 1230u,u,10,12,intel,integrated,0,16,ddr4,0,512,13,Widescreen (16:10),HD+,169.45,1,64,4.7,164599
dell vostro 3425 m552321win9s laptop (amd ryzen 5 5625u/ 16gb/ 512gb ssd/ win11 home),dell,windows,amd,ryzen 5 5625u,u,6,12,amd,integrated,0,16,ddr4,0,512,14,Widescreen (16:10),HD+,157.35,0,64,4.45,44528
dell inspiron 3520 d560917win9s 2022 laptop (12th gen core i5/ 8gb/ 1tb 256gb ssd/ win11),dell,windows,intel,core i5 1235u,u,10,12,intel,integrated,0,8,ddr4,1024,256,15.6,Widescreen (16:10),HD+,141.21,0,46,4.6,49990
dell inspiron 3511 d560908win9se laptop (11th gen core i3/ 8gb/ 256gb ssd/ win11),dell,windows,intel,core i3 1115g4,NULL,2,4,intel,integrated,0,8,ddr4,0,256,15.6,Widescreen (16:10),HD+,141.21,0,52,4.7,36990
dell latitude 5320 2-in-1 laptop (11th gen core i5/ 16gb/ 256gb ssd/ win10 pro),dell,windows,intel,core i5 1135g7,NULL,4,8,intel,integrated,0,16,ddr4,0,256,13.3,Widescreen (16:10),HD+,165.63,1,57,4.35,87999
dell inspiron 3520 d560869win9b laptop (12th gen core i3/ 8gb/ 256gb ssd/ win11),dell,windows,intel,core i3 1215u,u,6,8,intel,integrated,0,8,ddr4,0,256,15.6,Widescreen (16:10),HD+,141.21,0,52,4.3,33250
dell g15-5520 d560897win9s laptop (12th gen core i9/ 16gb/ 1tb ssd/ win11 home/ 6gb graph),dell,windows,intel,core i9 12900h,h,14,20,nvidia,geforce rtx 3060,6,16,ddr5,0,1024,15.6,Widescreen (16:10),HD+,141.21,0,72,4,127799
dell inspiron 3511 d560783win9bd laptop (11th gen core i3/ 8gb/ 512gb ssd/ win11 home),dell,windows,intel,core i3 1115g4,NULL,2,4,intel,integrated,0,8,ddr4,0,512,15.56,Widescreen (16:10),HD+,141.58,0,52,4.6,42999
dell vostro 3425 d552308win9b laptop (amd ryzen 3 5425u/ 8gb/ 256gb ssd/ win11 home),dell,windows,amd,ryzen 3 5425u,u,4,8,amd,integrated,0,8,ddr4,0,256,14,Widescreen (16:10),HD+,157.35,0,54,4.65,44694
dell inspiron 3520 2022 laptop (12th gen core i5/ 8gb/ 1tb 256gb ssd/ win11/ 2gb graph),dell,windows,intel,core i5 1235u,u,10,12,nvidia,integrated,2,8,ddr4,1024,256,15.6,Widescreen (16:10),HD+,141.21,0,60,4.25,72999
dell vostro 3525 laptop (amd ryzen 5-5625u/ 8gb/ 512gb ssd/ win11),dell,windows,amd,ryzen 5 5625u,u,6,12,amd,integrated,0,8,ddr4,0,512,15.6,Widescreen (16:10),HD+,141.21,0,55,4.3,51100
dell vostro 3525 laptop (amd r5-5625u/ 16gb/ 512gb ssd/ win11),dell,windows,amd,ryzen 5 5625u,u,6,12,amd,integrated,0,16,ddr4,0,512,15.6,Widescreen (16:10),HD+,141.21,0,57,4.65,55530
dell vostro 3510 icc-d585046win8 laptop (intel pentium gold 7505/ 8gb/ 256gb ssd/ win11 home),dell,windows,intel,pentium gold 7505,NULL,2,4,intel,integrated,0,8,ddr4,0,256,15.6,Widescreen (16:10),HD+,141.21,0,47,4.5,32590
dell inspiron 5620 laptop (12th gen core i7/ 16gb/ 512gb ssd/ win11/ 2gb graph),dell,windows,intel,core i7 1255u,u,10,12,nvidia,geforce mx570,2,16,ddr4,0,512,16,Widescreen (16:10),HD+,137.68,0,70,4.1,98000
dell vostro 3420 d552278win9s laptop (11th gen core i3/ 8gb/ 512gb ssd/ win11),dell,windows,intel,core i3 1115g4,NULL,2,4,intel,integrated,0,8,ddr4,0,512,14,Widescreen (16:10),HD+,157.35,0,53,4.15,34990
dell g15-5511 g15-7736blk-pus gaming laptop (11th gen core i7/ 16gb/ 512gb ssd/ win11/ 6gb graph),dell,windows,intel,core i7 11800h,h,8,16,nvidia,geforce rtx 3060,6,16,ddr4,0,512,15.6,Widescreen (16:10),HD+,141.21,0,72,4.3,144500
dell xps 9315 laptop (12th gen core i7 / 16gb/ 1tb ssd/ win11 pro),dell,windows,intel,core i7 1250u,u,10,12,NULL,NULL,NULL,16,ddr5,0,1024,13.4,Widescreen (16:10),HD+,164.4,1,53,4.6,142990
dell g15-5521 d560897win9s gaming laptop (12th gen core i9/ 16gb/ 1tb ssd/ win 11/ 6gb graph),dell,windows,intel,core i9 12900h,h,14,20,nvidia,geforce rtx 3060,6,16,ddr5,0,1024,15.6,Widescreen (16:10),3K+,188.28,0,65,4.1,180000
dell vostro 3425 d552267win9s laptop (amd ryzen 5 5625u/ 16gb/ 512gb ssd/ win11 home),dell,windows,amd,ryzen 5 5625u,u,6,12,amd,integrated,0,16,NULL,0,512,14,Widescreen (16:10),HD+,157.35,0,55,4.5,49490
dell g15-5525 gaming laptop (ryzen 9-6900hx/ 16gb/ 1tb ssd/ win11 home/ 6gb graph),dell,windows,amd,ryzen 9 6900hx,hx,8,16,nvidia,geforce rtx 3060,6,16,ddr5,0,1024,15.6,Widescreen (16:10),HD+,141.21,0,69,4.4,94490
dell g15-5521 d560899win9s gaming laptop (12th gen core i9/ 16gb/ 1tb ssd/ win 11/ 8gb graph),dell,windows,intel,core i9 12900h,h,14,20,nvidia,geforce rtx 3070 ti,8,16,ddr5,0,1024,15.6,Widescreen (16:10),3K+,188.28,0,69,4.45,141990
dell inspiron 7620 laptop (12th gen core i7/ 16gb/ 512gb ssd/ win11/ 2gb graph),dell,windows,intel,core i7 1260p,p,12,16,nvidia,geforce mx550,2,16,ddr4,0,512,14.5,Widescreen (16:10),3K+,202.57,0,63,4.15,89000
dell inspiron 5420 laptop (12th gen core i7/ 16gb/ 512gb ssd/ win11),dell,windows,intel,core i7 1255u,u,10,12,intel,integrated,0,16,NULL,0,512,14,Widescreen (16:10),HD+,161.73,0,56,4.15,79490
dell xps 13 plus laptop (12th gen core i7/ 16gb/ 1tb ssd/ win11),dell,windows,intel,core i7 1260p,p,12,16,intel,integrated,0,16,ddr5,0,1024,13.4,Widescreen (16:10),3K+,337.93,1,74,4.5,184990
dell latitude 3510 laptop (10th gen core i5/ 8gb/ 512gb ssd/ ubuntu),dell,ubuntu,intel,core i5 10210u,u,4,8,intel,integrated,0,8,ddr4,0,512,15.6,Widescreen (16:10),HD+,141.21,0,54,4.35,61999
dell xps 9315 laptop (12th gen core i5 / 16gb/ 512gb ssd/ win11),dell,windows,intel,core i5 1230u,u,10,12,NULL,NULL,NULL,16,ddr5,0,512,13.4,Widescreen (16:10),HD+,164.4,1,50,4.45,103600
dell xps 9315 laptop (12th gen core i7 / 16gb/ 512gb ssd/ win11),dell,windows,intel,core i7 1250u,u,10,12,NULL,NULL,NULL,16,ddr5,0,512,13.4,Widescreen (16:10),HD+,164.4,1,50,4.75,121099
dell vostro 15 3500 2022 laptop (11th gen core i5/ 8gb/ 512gb ssd/ win11 home/ 2gb graph),dell,windows,intel,core i5,NULL,NULL,NULL,nvidia,geforce mx330,2,8,ddr4,0,512,15.6,Widescreen (16:10),HD+,141.21,0,47,4.75,59000
dell vostro 3510 2022 laptop (11th gen core i3/ 16gb/ 1tb 256gb ssd/ win11 home),dell,windows,intel,core i3 1115g4,NULL,2,4,intel,integrated,0,16,ddr4,1024,256,15.6,Widescreen (16:10),HD+,141.21,0,53,4.6,52000
dell latitude 3520 notebook laptop (11th gen core i5/ 8gb/ 256gb ssd/ win10 pro),dell,windows,intel,core i5 1135g7,NULL,4,8,intel,integrated,0,8,ddr4,0,256,15.6,Widescreen (16:10),HD+,141.21,0,55,4.25,85999
dell latitude 3420 laptop (11th gen core i3/ 16gb/ 1tb ssd/ ubuntu),dell,ubuntu,intel,core i3 1115g4,NULL,2,4,intel,integrated,0,16,ddr4,0,1024,14,Widescreen (16:10),SD,111.94,0,53,4,84999
dell latitude 3520 laptop (11th gen core i3/ 8gb/ 256gb ssd/ ubuntu),dell,ubuntu,intel,core i3 1115g4,NULL,2,4,intel,integrated,0,8,NULL,0,256,15.6,Widescreen (16:10),SD,100.45,0,39,4.2,38300
dell latitude 3420 fhd laptop (11th gen core i5/ 8gb/ 1tb ssd/ win11 pro),dell,windows,intel,core i5 1135g7,NULL,4,8,intel,integrated,0,8,ddr4,0,1024,14,Widescreen (16:10),HD+,157.35,0,61,4.55,99800
dell vostro 3510 2022 laptop (11th gen core i3/ 16gb/ 1tb 512gb ssd/ win11 home),dell,windows,intel,core i3 1115g4,NULL,2,4,intel,integrated,0,16,ddr4,1024,512,15.6,Widescreen (16:10),HD+,141.21,0,54,4.2,53100
dell xps 9310 oled laptop (11th gen core i7/ 16gb/ 1tb ssd/ win11),dell,windows,intel,core i7 1165g7,NULL,4,8,NULL,NULL,NULL,16,ddr4,0,1024,13.4,Widescreen (16:10),3K+,304.14,1,72,4.55,204793
dell vostro 3510 2022 laptop (11th gen core i3/ 16gb/ 512gb ssd/ win11 home),dell,windows,intel,core i3 1115g4,NULL,2,4,intel,integrated,0,16,ddr4,0,512,15.6,Widescreen (16:10),HD+,141.21,0,51,4.35,49800
dell latitude 3420 2022 laptop (11th gen core i5/ 16gb/ 1tb ssd/ win11 pro),dell,windows,intel,core i5 1135g7,NULL,4,8,intel,integrated,0,16,ddr4,0,1024,14,Widescreen (16:10),HD+,157.35,0,63,4.3,102999
dell latitude 3420 2022 laptop (11th gen core i5/ 16gb/ 512gb ssd/ win11 pro),dell,windows,intel,core i5 1135g7,NULL,4,8,intel,integrated,0,16,ddr4,0,512,14,Widescreen (16:10),HD+,157.35,0,61,4.75,56490
dell vostro 3510 2022 laptop (11th gen core i3/ 8gb/ 512gb ssd/ win11 home),dell,windows,intel,core i3 1115g4,NULL,2,4,intel,integrated,0,8,ddr4,0,512,15.6,Widescreen (16:10),HD+,141.21,0,48,4.4,30999
dell vostro 5320 laptop (12th gen core i5/ 16gb/ 512gb ssd/ win11),dell,windows,intel,core i5 1240p,p,12,16,intel,integrated,0,16,ddr5,0,512,13.3,Widescreen (16:10),3K+,226.98,0,55,4.05,78990
dell inspiron 5320 laptop (12th gen core i5/ 16gb/ 512gb ssd/ win11),dell,windows,intel,core i5 1240p,p,12,16,intel,integrated,0,16,ddr5,0,512,13.3,Widescreen (16:10),3K+,226.98,0,64,4.55,64999
dell inspiron 3511 laptop (11th gen core i3/ 8gb/ 1tb 512gb ssd/ win11 home),dell,windows,intel,core i3 1115g4,NULL,2,4,intel,integrated,0,8,ddr4,1024,512,15.56,Widescreen (16:10),HD+,141.58,0,54,4.75,43150
dell inspiron 7620 laptop (12th gen core i7/ 16gb/ 1tb ssd/ win11/ 2gb graph),dell,windows,intel,core i7 1260p,p,12,16,nvidia,geforce mx550,2,16,ddr4,0,1024,14.5,Widescreen (16:10),3K+,202.57,0,68,4.45,133290
dell latitude 3510 laptop (10th gen core i3/ 8gb/ 1tb 512gb ssd/ ubuntu),dell,ubuntu,intel,core i3 10110u,u,2,4,intel,integrated,0,8,ddr4,1024,512,14,Widescreen (16:10),SD,111.94,0,55,4.1,45499
dell vostro 3400 laptop amd (ryzen 5 3450u/ 8gb/ 256gb ssd/ win11),dell,windows,amd,ryzen 5 3450u,u,4,NULL,amd,integrated,0,8,ddr4,0,256,14,Widescreen (16:10),HD+,157.35,0,48,4.35,33990
